Date,Boston Celtics,Miami Heat,Chicago Bulls,Orlando Magic,Los Angeles Clippers,Toronto Raptors,New Jersey Nets,Houston Rockets,Detroit Pistons,Milwaukee Bucks,Oklahoma City Thunder,Denver Nuggets,Memphis Grizzlies,New Orleans Hornets,Philadelphia 76ers,Los Angeles Lakers,Atlanta Hawks,Minnesota Timberwolves,Sacramento Kings,Utah Jazz,Indiana Pacers,Washington Wizards,Cleveland Cavaliers,New York Knicks,San Antonio Spurs,Dallas Mavericks,Phoenix Suns,Charlotte Bobcats,Portland Trail Blazers,Golden State Warriors
2012-03-22,1453.1271271745156,1715.5387630234998,1724.482887512536,1586.7334957742091,1527.0770721365118,1355.9105803422617,1320.6450800217876,1431.466563699755,1414.1391258952715,1520.1843394905584,1646.9587147316497,1547.2017800160504,1566.769418908918,1356.1187365739481,1559.437705145881,1575.434888131351,1501.4279634997583,1462.3212068447758,1524.4877248304797,1558.3081873340566,1571.9075755605656,1308.5210320318815,1402.0370325266595,1616.1983603903184,1608.7739023642414,1539.2034063601889,1561.716715180051,1213.6523667591796,1394.3619071976393,1435.856340541501
2012-03-23,1453.1271271745156,1715.5387630234998,1724.482887512536,1586.7334957742091,1493.5395133815373,1355.9105803422617,1320.6450800217876,1431.466563699755,1407.010807738409,1520.1843394905584,1680.4962734866242,1554.3300981729128,1566.769418908918,1347.1938642009193,1559.437705145881,1591.3274085496764,1501.4279634997583,1438.8146596335005,1524.4877248304797,1558.3081873340566,1573.5531651498925,1306.8754424425547,1402.0370325266595,1616.1983603903184,1632.2804495755167,1523.3108859418635,1561.716715180051,1213.6523667591796,1394.3619071976393,1444.7812129145298
2012-03-24,1470.3018080676222,1719.0672366315791,1724.482887512536,1604.1974711237567,1459.7998687246736,1429.035706211873,1306.5358651915785,1488.4961539869666,1403.4823341303297,1507.8107965800766,1680.4962734866242,1554.3300981729128,1540.0021416175887,1380.933508857783,1559.437705145881,1591.3274085496764,1515.5371783299674,1438.8146596335005,1519.8668594107294,1562.929052753807,1566.7688474345982,1306.8754424425547,1384.5730571771119,1543.073234520707,1632.2804495755167,1523.3108859418635,1568.5010328953454,1208.8512287765548,1421.1291844889686,1387.751622627318
2012-03-25,1444.8086502236902,1719.0672366315791,1724.482887512536,1604.1974711237567,1508.313395498859,1429.035706211873,1331.2505152128997,1488.4961539869666,1373.3885646712945,1507.8107965800766,1691.2220803912705,1511.4479001133343,1491.4886148434032,1380.933508857783,1584.930862989813,1604.0825978787163,1518.1322098433316,1428.0888527288541,1519.8668594107294,1605.8112508133854,1566.7688474345982,1304.2804109291906,1384.5730571771119,1573.1670039797423,1660.6159473160492,1494.975388201331,1568.5010328953454,1184.1365787552336,1408.3739951599287,1387.751622627318
2012-03-26,1464.7326195697385,1719.0672366315791,1727.9093311015654,1604.1974711237567,1508.313395498859,1425.6092626228437,1331.2505152128997,1482.2378234075768,1373.3885646712945,1490.6118931371439,1691.2220803912705,1460.5126294855218,1491.4886148434032,1379.2002760893092,1553.1606171211458,1604.0825978787163,1545.3037186242618,1479.0241233566667,1498.1209015590841,1578.6397420324552,1583.967750877531,1284.3564415831422,1374.3726239906346,1573.1670039797423,1694.11942595319,1501.233718780721,1578.7014660818227,1184.1365787552336,1408.3739951599287,1409.4975804789633
2012-03-27,1467.327030335476,1628.8311388020593,1727.9093311015654,1611.898553492572,1508.313395498859,1417.9081802540284,1324.9255817016692,1482.2378234075768,1377.6187122174008,1469.878218003254,1733.5740827700552,1460.5126294855218,1507.6775301415228,1379.2002760893092,1553.1606171211458,1587.8936825805968,1545.3037186242618,1479.0241233566667,1498.1209015590841,1584.9646755436856,1631.8518463282662,1280.126294037036,1374.3726239906346,1593.9006791136321,1694.11942595319,1501.233718780721,1578.7014660818227,1181.5421679894962,1423.9835119675236,1393.8880636713684
2012-03-28,1467.327030335476,1628.8311388020593,1678.9417424786684,1611.898553492572,1529.154872096423,1417.9081802540284,1324.9255817016692,1506.7483509829938,1377.6187122174008,1469.878218003254,1733.5740827700552,1509.4802181084187,1507.6775301415228,1358.3587994917452,1575.426564856168,1587.8936825805968,1545.3037186242618,1479.0241233566667,1473.6103739836672,1584.9646755436856,1631.8518463282662,1280.126294037036,1352.1066762556125,1593.9006791136321,1694.11942595319,1501.233718780721,1578.7014660818227,1181.5421679894962,1423.9835119675236,1393.8880636713684
2012-03-29,1511.1610110381132,1628.8311388020593,1689.079189291243,1560.5768405544047,1529.154872096423,1452.4309157305331,1400.9931105173905,1479.2200388966864,1391.4433761061628,1498.5707221091475,1736.9239191997858,1474.957482631914,1529.1351988221522,1358.3587994917452,1575.426564856168,1590.7081030617155,1506.4737677057938,1459.7948708092129,1473.6103739836672,1541.1306948410484,1555.784317512545,1280.126294037036,1338.2820123668505,1645.2223920517995,1700.5614807109648,1528.7620308670282,1572.259411324048,1179.3137518563206,1420.633675537793,1391.0736431902496
2012-03-30,1511.1610110381132,1628.8311388020593,1689.079189291243,1560.5768405544047,1575.1417823024692,1452.4309157305331,1400.9931105173905,1479.2200388966864,1391.4433761061628,1498.5707221091475,1736.9239191997858,1474.957482631914,1529.1351988221522,1379.0229134656483,1575.426564856168,1590.7081030617155,1506.4737677057938,1459.7948708092129,1470.6616818006587,1541.1306948410484,1561.7009982271084,1274.2096133224725,1338.2820123668505,1645.2223920517995,1703.5101728939733,1528.7620308670282,1526.2725011180019,1179.3137518563206,1420.633675537793,1370.4095292163465
2012-03-31,1511.1610110381132,1668.0702889149584,1689.079189291243,1560.5768405544047,1575.1417823024692,1447.0783130275395,1400.9931105173905,1479.2200388966864,1391.4433761061628,1513.993793988123,1743.2695177101791,1478.068997738689,1529.1351988221522,1360.0985813943346,1484.6102128881673,1584.3625045513222,1547.423552866256,1459.7948708092129,1470.6616818006587,1541.1306948410484,1561.7009982271084,1365.025965290473,1322.858940487875,1604.2726068913373,1703.5101728939733,1494.8754834571228,1526.2725011180019,1176.2022367495456,1439.5580076091067,1370.4095292163465
